"emp_id","emp_firstname","emp_surname","emp_gender","emp_birthdate","emp_contact","emp_workplace_id","date_hired","date_resigned","emp_position","reports_to","mth_salary"
33,"Patricia","Jennings","F","1988-02-11","806-405-8829",NULL,"2011-12-02",NULL,"Manager",NULL,"5500.00"
34,"Mason","Holland","M","1987-06-06","215-100-0513",NULL,"2012-05-30",NULL,"Senior Chief Design Officer",NULL,"9000.00"
35,"Allen","Granger","M","1987-02-08","408-560-1532",NULL,"2017-12-30",NULL,"Human Resources",NULL,"3300.00"
36,"Abby","Evans","F","1980-06-18","617-722-1237",NULL,"2009-07-08",NULL,"Senior Software Manager",NULL,"9500.00"
37,"Adam","Phillips","M","1989-07-31","806-427-4639",NULL,"2011-04-23",NULL,"User Interface Designer",NULL,"4500.00"
38,"Amanda","Brooke","F","1985-03-21","423-846-9004",NULL,"2009-09-19",NULL,"Industrial Designer",NULL,"6000.00"
39,"David","Lee","M","1977-04-08","415-100-3331",NULL,"2004-11-09",NULL,"Admin",NULL,"10000.00"
40,"Isaiah","Ray","M","2001-08-06","530-805-2253",NULL,"2020-10-01",NULL,"Intern",NULL,"1500.00"
41,"Isac","Sim","M","1989-05-05","206-442-0320",NULL,"2013-11-02","2019-03-16","Human Resources",NULL,"3300.00"
42,"Daniella","Harper","F","1999-04-18","309-569-7421",NULL,"2020-12-23",NULL,"Intern",NULL,"1500.00"
43,"Theo","Miles","M","1998-04-27","319-909-7318",NULL,"2018-05-09",NULL,"Chief Design Officer",NULL,"9050.00"
44,"Scott","Patterson","M","1995-03-02","906-286-0021",NULL,"2016-05-10","2019-10-08","Retail",NULL,"2500.00"
45,"Josh","Walker","M","1993-12-07","707-009-9311",NULL,"2020-02-12",NULL,"Intern",NULL,"1500.00"
46,"Paula","Sander","F","1999-11-10","516-778-3253",NULL,"2019-05-23",NULL,"Retail",NULL,"2500.00"
47,"Eden","Carson","M","1998-06-25","505-553-1635",NULL,"2018-07-22",NULL,"Retail",NULL,"2500.00"
48,"Zoe","Lamer","F","1985-02-05","205-643-7733",NULL,"2006-06-16","2018-11-09","Software Manager",NULL,"8300.00"
49,"Bella","Hadid","F","1999-02-01","229-915-6432",NULL,"2020-12-25",NULL,"Intern",NULL,"1500.00"
50,"Harry","Potter","M","1995-12-23","326-877-5321",NULL,"2015-10-22",NULL,"Marketing",NULL,"6000.00"
51,"Connor","Gray","M","1997-03-10","214-826-6202",NULL,"2020-01-28",NULL,"Intern",NULL,"1500.00"
52,"Jodie","Blair","F","1998-09-16","206-743-5194",NULL,"2021-01-29",NULL,"Intern",NULL,"1500.00"
53,"Henry","Lau","M","1980-03-22","304-458-2005",NULL,"2007-07-02","2019-01-30","User Interface Designer",NULL,"4500.00"
54,"Emma","Roberts","F","1984-08-17","610-665-5287",NULL,"2004-11-01","2018-04-05","User Interface Designer",NULL,"4500.00"
55,"Jasper","Briggs","M","1995-02-28","725-341-6932",NULL,"2021-01-25",NULL,"Intern",NULL,"1500.00"
56,"Jemima","Nguyen","F","1989-11-13","424-328-0004",NULL,"2011-01-30",NULL,"Software Engineer",NULL,"8000.00"
